"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
501611;93010;"Dolný Štál";2010-01-01;
501824;93010;"Dolný Štál";2010-01-01;
513008;01816;Domaniža;2010-01-01;
557561;01816;Domaniža;2010-01-01;
557579;01816;Domaniža;2010-01-01;
557595;01816;Domaniža;2010-01-01;
508560;97639;Donovaly;2010-01-01;
528331;07674;Drahňov;2010-01-01;
506991;92241;Drahovce;2010-01-01;
512168;03802;"Dražkovce pri Martine";2010-01-01;
512206;03802;"Dražkovce pri Martine";2010-01-01;
512214;03802;"Dražkovce pri Martine";2010-01-01;
512290;03802;"Dražkovce pri Martine";2010-01-01;
545961;03802;"Dražkovce pri Martine";2010-01-01;
524352;08204;Drienov;2010-01-01;
521337;04401;Drienovec;2010-01-01;
505960;91303;Drietoma;2010-01-01;
525561;04942;Drnava;2010-01-01;
525642;04942;Drnava;2010-01-01;
525855;04942;Drnava;2010-01-01;
525910;04942;Drnava;2010-01-01;
525936;04942;Drnava;2010-01-01;
521345;04431;"Družstevná pri Hornáde";2010-01-01;
522031;04431;"Družstevná pri Hornáde";2010-01-01;
582514;04431;"Družstevná pri Hornáde";2010-01-01;
513016;01841;"Dubnica nad Váhom 1";2010-01-01;
503169;94135;"Dubník pri Nových Zámkoch";2010-01-01;
505978;91323;Dubodiel;2010-01-01;
507881;90090;"Dubová pri Modre";2010-01-01;
504343;90862;"Dubovce pri Skalici";2010-01-01;
512125;03823;"Dubové pri Turčianskych Tepliciach";2010-01-01;
512222;03823;"Dubové pri Turčianskych Tepliciach";2010-01-01;
514551;98041;Dubovec;2010-01-01;
514691;98041;Dubovec;2010-01-01;
515183;98041;Dubovec;2010-01-01;
510408;03212;"Dúbrava pri Liptovskom Mikuláši";2010-01-01;
518387;96271;Dudince;2010-01-01;
518409;96271;Dudince;2010-01-01;
518603;96271;Dudince;2010-01-01;
518832;96271;Dudince;2010-01-01;
518841;96271;Dudince;2010-01-01;
501123;94656;Dulovce;2010-01-01;
508098;90042;"Dunajská Lužná";2010-01-01;
545333;90042;"Dunajská Lužná";2010-01-01;
501433;92901;"Dunajská Streda 1";2010-01-01;
501506;92901;"Dunajská Streda 1";2010-01-01;
501719;92901;"Dunajská Streda 1";2010-01-01;
501867;92901;"Dunajská Streda 1";2010-01-01;
501883;92901;"Dunajská Streda 1";2010-01-01;
555665;92901;"Dunajská Streda 1";2010-01-01;
555673;92901;"Dunajská Streda 1";2010-01-01;
555720;92901;"Dunajská Streda 1";2010-01-01;
507024;92056;"Dvorníky nad Váhom";2010-01-01;
503096;94131;"Dvory nad Žitavou";2010-01-01;
503177;94131;"Dvory nad Žitavou";2010-01-01;
502227;93566;"Farná pri Hrone";2010-01-01;
514501;98251;Figa;2010-01-01;
514713;98251;Figa;2010-01-01;
515566;98251;Figa;2010-01-01;
511234;98601;Fiľakovo;2010-01-01;
511331;98601;Fiľakovo;2010-01-01;
511391;98601;Fiľakovo;2010-01-01;
511404;98601;Fiľakovo;2010-01-01;
511811;98601;Fiľakovo;2010-01-01;
511871;98601;Fiľakovo;2010-01-01;
557315;98601;Fiľakovo;2010-01-01;
558273;98601;Fiľakovo;2010-01-01;
524395;08216;Fintice;2010-01-01;
525456;08216;Fintice;2010-01-01;
501573;93005;"Gabčíkovo 1";2010-01-01;
519111;08602;Gaboltov;2010-01-01;
519154;08602;Gaboltov;2010-01-01;
519171;08602;Gaboltov;2010-01-01;
519669;08602;Gaboltov;2010-01-01;
519715;08602;Gaboltov;2010-01-01;
519839;08602;Gaboltov;2010-01-01;
519952;08602;Gaboltov;2010-01-01;
507890;90061;Gajary;2010-01-01;
503665;92401;"Galanta 1";2010-01-01;
503762;92401;"Galanta 1";2010-01-01;
517551;01302;"Gbeľany pri Žiline";2010-01-01;
517704;01302;"Gbeľany pri Žiline";2010-01-01;
